"Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
7.6424,0.488,472.06,24.0,0.0,38.0,0.0
12.26005,0.408,469.94,30.8,0.0,64.0,2.0
7.7959,0.42,471.7,24.0,0.0,40.0,0.0
12.48932,0.388,471.96,31.6,0.0,66.0,2.0
8.556,0.63,708.21,36.0,0.0,60.0,3.0
12.0501,0.51,706.11,47.4,0.0,102.0,0.0
10.266,0.12,473.2,22.8,0.0,36.0,2.0
12.19695,0.0,709.23,42.0,0.0,87.0,3.0
8.96093,0.0,471.94,24.0,0.0,38.0,0.0
13.56012,0.0,710.28,39.6,0.0,78.0,3.0
13.8418,0.0,712.05,38.4,0.0,69.0,0.0
7.374,0.0,713.64,32.4,0.0,48.0,3.0
4.08,0.0,475.88,17.2,0.0,14.0,2.0
15.18449,0.0,713.58,34.8,0.0,54.0,0.0
12.05985,0.0,709.02,46.8,0.0,105.0,3.0
5.208,0.0,475.42,22.0,0.0,36.0,2.0
6.88,0.0,473.7,29.2,0.0,60.0,0.0
7.71,0.0,713.82,32.4,0.0,48.0,3.0
19.18155,0.0,710.58,43.2,0.0,90.0,3.0
9.578,0.0,475.16,22.4,0.0,34.0,0.0
9.45,0.0,711.45,40.2,0.0,81.0,3.0
10.686,0.0,711.06,37.8,0.0,66.0,0.0
7.0062,0.0,475.64,23.2,0.0,38.0,2.0
5.91,0.0,716.73,24.6,0.0,15.0,3.0
6.739,0.0,477.12,22.0,0.0,34.0,0.0
11.19,0.0,712.02,46.8,0.0,105.0,3.0
7.24532,0.0,475.98,23.6,0.0,42.0,2.0
10.20465,0.0,708.81,42.6,0.0,84.0,0.0
10.17525,0.0,713.25,33.6,0.0,54.0,3.0
6.765,0.22,475.16,29.6,0.0,62.0,2.0
10.06335,0.474,714.36,34.2,0.0,48.0,0.0
6.6806,0.304,474.94,28.4,0.0,54.0,2.0
7.77453,0.416,475.24,23.2,0.0,32.0,0.0
8.52,0.498,711.51,37.2,0.0,57.0,3.0
5.57671,0.296,472.8,25.2,0.0,44.0,2.0
5.664,0.474,711.18,24.0,0.0,12.0,0.0
6.4178,0.3,473.96,21.6,0.0,32.0,2.0
11.59388,0.456,709.41,42.0,0.0,75.0,3.0
15.75416,0.444,709.5,39.6,0.0,78.0,0.0
4.416,0.708,715.95,18.6,0.0,9.0,3.0
11.6635,0.786,713.58,26.4,0.0,48.0,0.0
15.97715,0.756,710.7,36.0,0.0,69.0,3.0
7.704,0.738,712.17,34.8,0.0,75.0,3.0
2.04,0.544,477.8,8.8,0.0,8.0,0.0
4.77309,0.768,715.05,22.8,0.0,48.0,3.0
6.44299,0.516,475.52,20.4,0.0,54.0,2.0
5.52,0.75,713.28,25.2,0.0,60.0,0.0
1.628,0.452,479.02,7.2,0.0,6.0,2.0
4.278,0.384,717.03,18.0,0.0,45.0,3.0
7.266,0.396,714.03,31.2,0.0,93.0,0.0
6.84319,0.252,479.02,11.6,0.0,26.0,2.0
3.252,0.468,719.43,14.4,0.0,30.0,0.0
9.48317,0.264,479.32,6.0,0.0,6.0,2.0
1.67505,0.474,719.37,9.6,0.0,12.0,3.0
13.89032,0.402,720.15,9.0,0.0,9.0,0.0
5.1262,0.128,478.68,6.0,0.0,8.0,2.0
0.35765,0.0,718.98,8.4,0.0,9.0,3.0
4.8932,0.12,480.7,5.6,0.0,8.0,0.0
10.01009,0.0,723.87,8.4,0.0,9.0,3.0
1.324,0.444,482.22,5.6,0.0,4.0,2.0
8.59476,0.36,482.4,5.6,0.0,0.0,0.0
5.6826,0.504,720.33,15.6,0.0,0.0,3.0
2.896,0.368,480.38,12.0,0.0,0.0,2.0
9.72744,0.0,477.06,21.2,0.0,44.0,0.0
4.21222,0.0,475.96,25.2,0.0,72.0,2.0
5.14314,0.0,474.48,23.6,0.0,52.0,2.0
9.726,0.27,711.63,40.8,0.0,111.0,0.0
6.40445,0.426,713.58,34.2,0.0,84.0,3.0
11.40441,0.45,712.98,33.0,0.0,90.0,0.0
6.516,0.456,713.07,28.2,0.0,63.0,3.0
8.15971,0.336,475.74,24.0,0.0,70.0,2.0
4.028,0.58,477.24,17.2,0.0,34.0,0.0
6.1,0.56,476.76,25.6,0.0,72.0,2.0
6.19646,0.588,479.06,16.4,0.0,36.0,2.0
7.52387,0.56,476.28,25.6,0.0,70.0,0.0
7.02378,0.576,477.02,16.4,0.0,34.0,2.0
9.11472,0.556,475.32,24.4,0.0,66.0,0.0
5.80353,0.576,477.0,16.4,0.0,34.0,2.0
8.514,0.822,710.25,36.6,0.0,99.0,3.0
6.2682,0.84,713.01,25.2,0.0,51.0,0.0
8.382,0.846,714.15,36.0,0.0,96.0,3.0
2.72252,0.576,477.92,18.0,0.0,38.0,2.0
8.00764,0.852,713.55,33.6,0.0,87.0,0.0
7.51759,0.834,714.15,29.4,0.0,69.0,3.0
10.85905,0.834,712.14,32.4,0.0,75.0,3.0
6.46335,0.798,711.3,36.0,0.0,78.0,0.0
6.5271,1.32,711.12,34.8,0.0,66.0,3.0
8.0723,0.728,469.18,26.4,0.0,56.0,0.0
10.17683,0.984,706.68,31.8,0.0,60.0,3.0
4.5511,0.616,471.7,26.8,0.0,60.0,2.0
4.601,0.656,474.24,20.0,0.0,36.0,0.0
4.7039,0.676,471.54,27.2,0.0,60.0,2.0
10.4901,1.242,708.15,31.8,0.0,51.0,3.0
7.99298,0.788,471.62,26.8,0.0,58.0,0.0
